Sample,Site,Flow,FlowBin,ParMort,Vol.IS,Rugosity,MeanB,Density,Diversity,Echinodermata,Crustacea-s,Crustacea-m,Cristacea-l,Annelida,Mollusca-s,Mollusca-m,Mollusca-l,Fish
H1,AI,High,0,2.080183515,35,16.96691518,6.875,0.469214327,0.8486856,2,0,5,1,0,0,1,0,0
H2,AI,High,0,0,16,10.74262062,7.875,2.4190297,1.3745156,4,27,2,0,3,0,0,0,0
H3,AI,High,0,15.4353339,45,12.79147253,6,0.845308538,1.1964538,2,11,11,4,2,0,0,0,0
H4,AI,High,0,6.840836893,46,9.49758462,8.5,0.985869208,1.267677,2,6,5,3,0,0,2,0,0
H5,AI,High,0,2.733443405,77,19.88804151,8.25,0.995885421,1.0800293,4,10,19,3,1,0,0,0,1
H6,AI,High,0,0,33,19.03300789,5.75,1.029512697,1.4171055,3,5,7,4,2,0,3,0,0
H7,AI,High,0,0.652413696,69,13.56277675,5.625,0.586702964,1.4082931,1,7,10,3,1,1,2,0,0
H8,AI,High,0,1.284976908,70,18.75793317,8,0.814995925,1.2964211,2,10,8,5,4,0,1,0,0
H9,AI,High,0,6.703447561,75.5,17.23900381,7.125,0.647550962,1.274927,3,5,10,2,0,1,3,0,1
H10,AI,High,0,10.47319242,59,15.34639634,6.375,1.34912307,1.1497046,0,25,16,9,2,0,0,0,2
H11,IR,High,0,0,31,13.74184932,9.375,0.396707329,1.0335621,2,2,2,4,1,0,0,0,0
H12,IR,High,0,4.608256459,21,13.38620028,6.5,0.876570522,1.2732545,11,2,5,0,2,0,1,0,0
H13,IR,High,0,10.10212142,65,8.551149853,6.75,0.705258407,1.4269742,5,8,10,1,1,0,0,0,0
H14,IR,High,0,0,36,11.49269136,10.375,0.411522634,0.6829081,3,1,3,0,0,0,0,0,0
H15,IR,High,0,0,49,17.55238021,8.875,1.293591333,1.4083379,15,11,17,2,2,0,1,0,0
H16,IR,High,0,15.91508893,68,19.8276506,7.125,0.860585198,1.233306,11,5,8,3,3,0,0,0,0
H17,IR,High,0,0,27,14.47358618,5.25,0.797972212,1.2222669,6,2,4,3,1,0,0,0,1
H18,IR,High,0,79.13064998,102,12.59699139,4.25,0.424245638,0.9582325,8,4,8,1,3,0,0,0,0
H19,MRB,High,0,1.592728973,52,7.609328424,9.5,0.730609621,1.5187932,6,25,7,9,2,0,0,1,0
H20,MRB,High,0,0,38,6.357748598,10.25,1.07714403,1.3824225,8,41,9,3,1,0,0,1,0
H21,MRB,High,0,0,36,4.728938463,8,1.052763504,1.3541348,2,18,19,0,2,0,1,0,0
H22,MRB,High,0,0,38,7.301042192,8.25,0.530377363,1.2348392,1,14,4,0,0,0,1,0,0
H23,MRB,High,0,0,56,5.600379324,8.5,0.515746918,1.1931006,3,21,0,6,0,0,0,1,0
H24,MRB,High,0,0.752288589,37,9.02323333,12.5,0.332336324,1.0670895,3,5,1,2,0,0,0,0,0
H25,MRB,High,0,6.088748696,64,7.36731052,13.125,0.603219685,1.5039827,10,21,12,3,1,0,1,0,0
H26,MRB,High,0,1.988691438,51,9.8826979,9.625,0.613893376,1.0110763,27,4,2,3,0,0,2,0,0
L1,AH,Low,1,17.5831793,27,5.418073673,6.375,1.254290996,1.1502527,1,24,9,3,0,0,0,1,0
L2,AH,Low,1,4.424595648,35,12.66459841,6.75,1.207021416,1.3889322,3,21,7,3,1,0,0,0,0
L3,AH,Low,1,0,17,6.93415281,6.25,0.821119185,1.4001387,3,12,1,3,0,0,1,0,0
L4,AH,Low,1,0,31,7.255886864,9.875,1.152635546,1.4694147,3,17,2,2,0,0,2,0,0
L5,AH,Low,1,5.860362837,30,10.64271578,10.25,0.934579439,1.5532803,6,16,9,0,2,1,0,0,0
L6,AH,Low,1,17.3883568,41,4.694241865,8.75,0.389453035,0.8230338,0,19,4,4,0,0,0,0,0
L7,AH,Low,1,0,83,9.171248074,8.625,1.0185161,0.9242903,2,29,35,9,2,0,0,0,1
L8,AH,Low,1,20.29164922,36,8.14682299,7.75,0.837444701,1.2583446,5,36,0,5,0,0,0,0,0
L9,MF,Low,1,6.199026081,32,6.535469184,8.125,0.59749649,1.6385064,5,10,3,1,0,1,0,0,0
L10,MF,Low,1,0,33,5.807773923,9.25,0.648529459,1.2022623,5,7,4,4,0,0,0,0,0
L11,MF,Low,1,0.415715056,41,8.546309118,7.125,0.846826965,1.5285874,6,19,4,2,0,0,2,0,0
L12,MF,Low,1,0,43,9.190240591,6.875,1.021235695,1.2370278,12,9,7,5,0,1,0,0,0
L13,MF,Low,1,0,44,5.8895112,7.75,0.973914875,1.6617093,5,19,6,3,0,2,1,1,0
L14,MF,Low,1,15.61539407,36,6.25866751,6.625,0.790430521,1.6403086,5,28,4,1,0,7,0,0,0
L15,MF,Low,1,12.5025245,91,4.61101087,5.875,0.677160677,1.4340338,6,24,16,6,0,4,2,0,0
L16,MF,Low,1,15.7035848,73,6.707548957,3.875,0.789192081,1.2281671,5,15,25,10,2,1,1,0,0
L17,PH,Low,1,13.49597135,24,8.009733662,5.25,1.268278126,1.4016524,7,12,8,4,1,0,1,0,1
L18,PH,Low,1,0,35,8.989551209,6.5,1.270590371,1.3933105,1,14,8,1,3,0,0,0,1
L19,PH,Low,1,0,64,18.84282561,5.5,1.911547485,1.235532,2,30,22,6,2,0,3,0,1
L20,PH,Low,1,41.21684809,61,17.10368084,8.375,1.197022407,1.349568,11,39,7,5,0,0,1,0,1
L21,PH,Low,1,7.033144705,61,16.03520412,7.25,1.212611156,1.405525,10,16,11,6,1,1,3,0,0
L22,PH,Low,1,35.62112953,49,17.14333609,7.375,1.969121886,0.9789746,2,58,4,4,0,0,1,0,0
L23,PH,Low,1,0,28,11.52146744,8.625,1.381704811,1.4018008,6,12,12,6,3,0,0,0,0
L24,PH,Low,1,0.914737436,42,21.05784303,7.625,2.559759081,1.3784257,20,35,4,5,0,0,4,0,0
L25,PH,Low,1,14.16660426,64,16.29405078,7.25,0.998527172,0.931248,3,17,9,11,0,0,0,0,0
L26,PH,Low,1,0,32,13.20784116,7.625,2.23803512,1.1442758,7,14,10,5,2,0,0,0,1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
